week,date,day,slot,time,pillar,weekly_theme,editorial_angle,format,working_title,hook,outline,cta,source
1,2026-08-25,Tuesday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,repo walkthrough,Inside awesome-system-design-resources: PACELC tradeoffs in real code (foundations),Theory posts about PACELC tradeoffs are everywhere. Today: where it actually lives in github.com/ashishps1/awesome-system-design-resources.,"Point to the exact files/sections in github.com/ashishps1/awesome-system-design-resources that implement or document PACELC tradeoffs | Trace one path through the code or material end to end | Extract the one design decision worth stealing, read from first principles",Tag someone who is debugging this right now.,github.com/ashishps1/awesome-system-design-resources
1,2026-08-25,Tuesday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,snippet / config tip,A working snippet for PACELC tradeoffs (foundations),One copy-pasteable block that makes PACELC tradeoffs concrete.,"Show a minimal, runnable snippet or config exercising the concept | Annotate the two lines people get wrong | State the expected output so readers can self-verify",Repost this so your team sees it.,github.com/ashishps1/awesome-system-design-resources
1,2026-08-26,Wednesday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,case study,Case study: consistent hashing in production (foundations),"A real team, a real system, and consistent hashing under actual load. What happened next was predictable in hindsight.","Set the scene: company scale, constraint, and why this concept was on the critical path | Walk the decision, the implementation, and the number that moved | Close with the transferable rule about consistent hashing",Save this for your next design review.,github.com/karanpratapsingh/system-design
1,2026-08-26,Wednesday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,lessons listicle,5 lessons about consistent hashing teams learn too late (foundations),Every one of these consistent hashing lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Follow along - this series runs all week.,github.com/karanpratapsingh/system-design
1,2026-08-27,Thursday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,hands-on tutorial,Hands-on: load balancing algorithms in under an hour (foundations),Stop reading about load balancing algorithms. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Comment your take - I read every reply.,github.com/binhnguyennus/awesome-scalability
1,2026-08-27,Thursday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,common mistakes checklist,The load balancing algorithms mistakes checklist (foundations),Five checks that catch 90% of load balancing algorithms mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Bookmark this; you will need it at 3am someday.,github.com/binhnguyennus/awesome-scalability
1,2026-08-28,Friday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,contrarian take,Hot take: most advice about L4 vs L7 load balancing is wrong (foundations),"The standard advice on L4 vs L7 load balancing optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Tag someone who is debugging this right now.,github.com/donnemartin/system-design-primer
1,2026-08-28,Friday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,debate prompt,"Debate: is L4 vs L7 load balancing necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on L4 vs L7 load balancing, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Repost this so your team sees it.,github.com/donnemartin/system-design-primer
1,2026-08-29,Saturday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,recap + quiz,"Week 1 recap and quiz: System Design Fundamentals - Foundations, part 1",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: the CAP theorem; PACELC tradeoffs; consistent hashing; load balancing algorithms; L4 vs L7 load balancing | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Save this for your next design review.,github.com/ByteByteGoHq/system-design-101
1,2026-08-29,Saturday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 1",Foundations,weekend challenge,Weekend challenge: reverse proxies (foundations),90 focused minutes on reverse proxies this weekend beats another saved-and-forgotten bookmark.,"Define a scoped build/read exercise on reverse proxies, from first principles, with a visible artifact | Point to the exact starting resource: github.com/ByteByteGoHq/system-design-101 | Ask readers to post their artifact and tag it for review",Follow along - this series runs all week.,github.com/ByteByteGoHq/system-design-101
2,2026-08-30,Sunday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,theme kickoff,"Week 2 kickoff - System Design Fundamentals - Foundations, part 2","This week: system design fundamentals, from first principles. If the term is familiar but the mechanics are fuzzy, this pass is for you.",Name the week's six topics: CDN architecture; DNS resolution paths; cache-aside vs write-through caching; cache eviction policies; cache stampede protection; database indexing | One sentence on why this pillar matters at this angle right now | State what readers will be able to do by Saturday,Comment your take - I read every reply.,github.com/ashishps1/awesome-system-design-resources
2,2026-08-30,Sunday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,poll,Poll (week 2): where are you with system design fundamentals?,Quick pulse-check before the deep dives start tomorrow.,Option A: learning the vocabulary | Option B: built it once in a side project | Option C: run it in production | Option D: debugged it during an incident,Bookmark this; you will need it at 3am someday.,github.com/ashishps1/awesome-system-design-resources
2,2026-08-31,Monday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,concept deep-dive,"CDN architecture, explained from first principles",Most engineers can name CDN architecture. Far fewer can explain the mechanics. Here is the foundations version.,"Define CDN architecture in two sentences, no jargon | Walk the core mechanism step by step with one concrete example | State the one misconception that causes the most damage",Tag someone who is debugging this right now.,github.com/karanpratapsingh/system-design
2,2026-08-31,Monday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,annotated diagram,CDN architecture in one diagram (foundations),"If you cannot draw CDN architecture, you do not understand it yet.",Draw the components and the data flow between them | Annotate the step where the interesting work happens | Mark the failure point in red and say why it fails there,Repost this so your team sees it.,github.com/karanpratapsingh/system-design
2,2026-09-01,Tuesday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,repo walkthrough,Inside awesome-scalability: DNS resolution paths in real code (foundations),Theory posts about DNS resolution paths are everywhere. Today: where it actually lives in github.com/binhnguyennus/awesome-scalability.,"Point to the exact files/sections in github.com/binhnguyennus/awesome-scalability that implement or document DNS resolution paths | Trace one path through the code or material end to end | Extract the one design decision worth stealing, read from first principles",Save this for your next design review.,github.com/binhnguyennus/awesome-scalability
2,2026-09-01,Tuesday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,snippet / config tip,A working snippet for DNS resolution paths (foundations),One copy-pasteable block that makes DNS resolution paths concrete.,"Show a minimal, runnable snippet or config exercising the concept | Annotate the two lines people get wrong | State the expected output so readers can self-verify",Follow along - this series runs all week.,github.com/binhnguyennus/awesome-scalability
2,2026-09-02,Wednesday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,case study,Case study: cache-aside vs write-through caching in production (foundations),"A real team, a real system, and cache-aside vs write-through caching under actual load. What happened next was predictable in hindsight.","Set the scene: company scale, constraint, and why this concept was on the critical path | Walk the decision, the implementation, and the number that moved | Close with the transferable rule about cache-aside vs write-through caching",Comment your take - I read every reply.,github.com/donnemartin/system-design-primer
2,2026-09-02,Wednesday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,lessons listicle,5 lessons about cache-aside vs write-through caching teams learn too late (foundations),Every one of these cache-aside vs write-through caching lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Bookmark this; you will need it at 3am someday.,github.com/donnemartin/system-design-primer
2,2026-09-03,Thursday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,hands-on tutorial,Hands-on: cache eviction policies in under an hour (foundations),Stop reading about cache eviction policies. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Tag someone who is debugging this right now.,github.com/ByteByteGoHq/system-design-101
2,2026-09-03,Thursday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,common mistakes checklist,The cache eviction policies mistakes checklist (foundations),Five checks that catch 90% of cache eviction policies mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Repost this so your team sees it.,github.com/ByteByteGoHq/system-design-101
2,2026-09-04,Friday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,contrarian take,Hot take: most advice about cache stampede protection is wrong (foundations),"The standard advice on cache stampede protection optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Save this for your next design review.,github.com/ashishps1/awesome-system-design-resources
2,2026-09-04,Friday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,debate prompt,"Debate: is cache stampede protection necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on cache stampede protection, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Follow along - this series runs all week.,github.com/ashishps1/awesome-system-design-resources
2,2026-09-05,Saturday,AM,09:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,recap + quiz,"Week 2 recap and quiz: System Design Fundamentals - Foundations, part 2",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: CDN architecture; DNS resolution paths; cache-aside vs write-through caching; cache eviction policies; cache stampede protection | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Comment your take - I read every reply.,github.com/karanpratapsingh/system-design
2,2026-09-05,Saturday,PM,17:00,System Design Fundamentals,"System Design Fundamentals - Foundations, part 2",Foundations,weekend challenge,Weekend challenge: database indexing (foundations),90 focused minutes on database indexing this weekend beats another saved-and-forgotten bookmark.,"Define a scoped build/read exercise on database indexing, from first principles, with a visible artifact | Point to the exact starting resource: github.com/karanpratapsingh/system-design | Ask readers to post their artifact and tag it for review",Bookmark this; you will need it at 3am someday.,github.com/karanpratapsingh/system-design
3,2026-09-06,Sunday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,theme kickoff,"Week 3 kickoff - LLM Internals & Pretraining - Foundations, part 1","This week: llm internals & pretraining, from first principles. If the term is familiar but the mechanics are fuzzy, this pass is for you.",Name the week's six topics: self-attention mechanics; multi-head attention; BPE tokenization; embedding layers; rotary positional encodings; pre-norm vs post-norm layer normalization | One sentence on why this pillar matters at this angle right now | State what readers will be able to do by Saturday,Tag someone who is debugging this right now.,github.com/rasbt/LLMs-from-scratch
3,2026-09-06,Sunday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,poll,Poll (week 3): where are you with llm internals & pretraining?,Quick pulse-check before the deep dives start tomorrow.,Option A: learning the vocabulary | Option B: built it once in a side project | Option C: run it in production | Option D: debugged it during an incident,Repost this so your team sees it.,github.com/rasbt/LLMs-from-scratch
3,2026-09-07,Monday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,concept deep-dive,"self-attention mechanics, explained from first principles",Most engineers can name self-attention mechanics. Far fewer can explain the mechanics. Here is the foundations version.,"Define self-attention mechanics in two sentences, no jargon | Walk the core mechanism step by step with one concrete example | State the one misconception that causes the most damage",Save this for your next design review.,github.com/RUCAIBox/awesome-llm-pretraining
3,2026-09-07,Monday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,annotated diagram,self-attention mechanics in one diagram (foundations),"If you cannot draw self-attention mechanics, you do not understand it yet.",Draw the components and the data flow between them | Annotate the step where the interesting work happens | Mark the failure point in red and say why it fails there,Follow along - this series runs all week.,github.com/RUCAIBox/awesome-llm-pretraining
3,2026-09-08,Tuesday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,repo walkthrough,Inside LLMs-from-scratch: multi-head attention in real code (foundations),Theory posts about multi-head attention are everywhere. Today: where it actually lives in github.com/rasbt/LLMs-from-scratch.,"Point to the exact files/sections in github.com/rasbt/LLMs-from-scratch that implement or document multi-head attention | Trace one path through the code or material end to end | Extract the one design decision worth stealing, read from first principles",Comment your take - I read every reply.,github.com/rasbt/LLMs-from-scratch
3,2026-09-08,Tuesday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,snippet / config tip,A working snippet for multi-head attention (foundations),One copy-pasteable block that makes multi-head attention concrete.,"Show a minimal, runnable snippet or config exercising the concept | Annotate the two lines people get wrong | State the expected output so readers can self-verify",Bookmark this; you will need it at 3am someday.,github.com/rasbt/LLMs-from-scratch
3,2026-09-09,Wednesday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,case study,Case study: BPE tokenization in production (foundations),"A real team, a real system, and BPE tokenization under actual load. What happened next was predictable in hindsight.","Set the scene: company scale, constraint, and why this concept was on the critical path | Walk the decision, the implementation, and the number that moved | Close with the transferable rule about BPE tokenization",Tag someone who is debugging this right now.,github.com/RUCAIBox/awesome-llm-pretraining
3,2026-09-09,Wednesday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,lessons listicle,5 lessons about BPE tokenization teams learn too late (foundations),Every one of these BPE tokenization lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Repost this so your team sees it.,github.com/RUCAIBox/awesome-llm-pretraining
3,2026-09-10,Thursday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,hands-on tutorial,Hands-on: embedding layers in under an hour (foundations),Stop reading about embedding layers. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Save this for your next design review.,github.com/rasbt/LLMs-from-scratch
3,2026-09-10,Thursday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,common mistakes checklist,The embedding layers mistakes checklist (foundations),Five checks that catch 90% of embedding layers mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Follow along - this series runs all week.,github.com/rasbt/LLMs-from-scratch
3,2026-09-11,Friday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,contrarian take,Hot take: most advice about rotary positional encodings is wrong (foundations),"The standard advice on rotary positional encodings optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Comment your take - I read every reply.,github.com/RUCAIBox/awesome-llm-pretraining
3,2026-09-11,Friday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,debate prompt,"Debate: is rotary positional encodings necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on rotary positional encodings, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Bookmark this; you will need it at 3am someday.,github.com/RUCAIBox/awesome-llm-pretraining
3,2026-09-12,Saturday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,recap + quiz,"Week 3 recap and quiz: LLM Internals & Pretraining - Foundations, part 1",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: self-attention mechanics; multi-head attention; BPE tokenization; embedding layers; rotary positional encodings | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Tag someone who is debugging this right now.,github.com/rasbt/LLMs-from-scratch
3,2026-09-12,Saturday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 1",Foundations,weekend challenge,Weekend challenge: pre-norm vs post-norm layer normalization (foundations),90 focused minutes on pre-norm vs post-norm layer normalization this weekend beats another saved-and-forgotten bookmark.,"Define a scoped build/read exercise on pre-norm vs post-norm layer normalization, from first principles, with a visible artifact | Point to the exact starting resource: github.com/rasbt/LLMs-from-scratch | Ask readers to post their artifact and tag it for review",Repost this so your team sees it.,github.com/rasbt/LLMs-from-scratch
4,2026-09-13,Sunday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,theme kickoff,"Week 4 kickoff - LLM Internals & Pretraining - Foundations, part 2","This week: llm internals & pretraining, from first principles. If the term is familiar but the mechanics are fuzzy, this pass is for you.",Name the week's six topics: residual streams; feed-forward blocks; grouped-query attention; multi-head latent attention; sliding-window attention; DeepSeek sparse attention | One sentence on why this pillar matters at this angle right now | State what readers will be able to do by Saturday,Save this for your next design review.,github.com/RUCAIBox/awesome-llm-pretraining
4,2026-09-13,Sunday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,poll,Poll (week 4): where are you with llm internals & pretraining?,Quick pulse-check before the deep dives start tomorrow.,Option A: learning the vocabulary | Option B: built it once in a side project | Option C: run it in production | Option D: debugged it during an incident,Follow along - this series runs all week.,github.com/RUCAIBox/awesome-llm-pretraining
4,2026-09-14,Monday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,concept deep-dive,"residual streams, explained from first principles",Most engineers can name residual streams. Far fewer can explain the mechanics. Here is the foundations version.,"Define residual streams in two sentences, no jargon | Walk the core mechanism step by step with one concrete example | State the one misconception that causes the most damage",Comment your take - I read every reply.,github.com/rasbt/LLMs-from-scratch
4,2026-09-14,Monday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,annotated diagram,residual streams in one diagram (foundations),"If you cannot draw residual streams, you do not understand it yet.",Draw the components and the data flow between them | Annotate the step where the interesting work happens | Mark the failure point in red and say why it fails there,Bookmark this; you will need it at 3am someday.,github.com/rasbt/LLMs-from-scratch
4,2026-09-15,Tuesday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,repo walkthrough,Inside awesome-llm-pretraining: feed-forward blocks in real code (foundations),Theory posts about feed-forward blocks are everywhere. Today: where it actually lives in github.com/RUCAIBox/awesome-llm-pretraining.,"Point to the exact files/sections in github.com/RUCAIBox/awesome-llm-pretraining that implement or document feed-forward blocks | Trace one path through the code or material end to end | Extract the one design decision worth stealing, read from first principles",Tag someone who is debugging this right now.,github.com/RUCAIBox/awesome-llm-pretraining
4,2026-09-15,Tuesday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,snippet / config tip,A working snippet for feed-forward blocks (foundations),One copy-pasteable block that makes feed-forward blocks concrete.,"Show a minimal, runnable snippet or config exercising the concept | Annotate the two lines people get wrong | State the expected output so readers can self-verify",Repost this so your team sees it.,github.com/RUCAIBox/awesome-llm-pretraining
4,2026-09-16,Wednesday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,case study,Case study: grouped-query attention in production (foundations),"A real team, a real system, and grouped-query attention under actual load. What happened next was predictable in hindsight.","Set the scene: company scale, constraint, and why this concept was on the critical path | Walk the decision, the implementation, and the number that moved | Close with the transferable rule about grouped-query attention",Save this for your next design review.,github.com/rasbt/LLMs-from-scratch
4,2026-09-16,Wednesday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,lessons listicle,5 lessons about grouped-query attention teams learn too late (foundations),Every one of these grouped-query attention lessons was paid for in an incident review.,"Five one-line lessons framed from first principles, each with the consequence of ignoring it | Order them from cheap-to-fix to career-limiting | End with the earliest warning signal to watch for",Follow along - this series runs all week.,github.com/rasbt/LLMs-from-scratch
4,2026-09-17,Thursday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,hands-on tutorial,Hands-on: multi-head latent attention in under an hour (foundations),Stop reading about multi-head latent attention. Here is the smallest real exercise that teaches it from first principles.,Define the end state: what exists and runs when the hour is up | Give the 4-6 numbered steps with the commands or code per step | Include the verification step that proves it worked,Comment your take - I read every reply.,github.com/RUCAIBox/awesome-llm-pretraining
4,2026-09-17,Thursday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,common mistakes checklist,The multi-head latent attention mistakes checklist (foundations),Five checks that catch 90% of multi-head latent attention mistakes before they ship.,"Five yes/no checks phrased so 'no' means stop and fix, targeting mistakes made from first principles | For each: the symptom you will see in production if skipped | Make it screenshot-able as a single card",Bookmark this; you will need it at 3am someday.,github.com/RUCAIBox/awesome-llm-pretraining
4,2026-09-18,Friday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,contrarian take,Hot take: most advice about sliding-window attention is wrong (foundations),"The standard advice on sliding-window attention optimizes for the demo, not the system you actually run.",State the conventional wisdom fairly - steelman it in two lines | Show the specific context where it fails and the evidence | Give the replacement heuristic and its own limits,Tag someone who is debugging this right now.,github.com/rasbt/LLMs-from-scratch
4,2026-09-18,Friday,PM,17:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,debate prompt,"Debate: is sliding-window attention necessary, or overengineering? (foundations)","Two senior engineers, opposite positions on sliding-window attention, both with production scars. Pick a side.","Present position A with its strongest supporting scenario, argued from first principles | Present position B with its strongest supporting scenario | Ask readers to reply with their context - team size, scale, stakes",Repost this so your team sees it.,github.com/rasbt/LLMs-from-scratch
4,2026-09-19,Saturday,AM,09:00,LLM Internals & Pretraining,"LLM Internals & Pretraining - Foundations, part 2",Foundations,recap + quiz,"Week 4 recap and quiz: LLM Internals & Pretraining - Foundations, part 2",Six days of material in three questions. Answers in Monday's post.,"Recap in one line each: residual streams; feed-forward blocks; grouped-query attention; multi-head latent attention; sliding-window attention | Three quiz questions: one recall, one application, one design tradeoff | Invite answers in the comments; no lookups allowed",Save this for your next design review.,github.com/RUCAIBox/awesome-llm-pretraining
